species,mean_trend,l95,u95,p_pos,direction,n_grid_first,n_grid_last,n_grid_delta,order_lat,family_lat,genus_lat,body_mass_g,body_length_mm,clutch_size,egg_volume_mm3,longevity_y,maturity_y,avonet_hwi,elev_range_m,avonet_range_size,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,niche_rel,diet_specialization,habitat_breadth_data,habitat_openness_avonet,migration_class,migration_score
Egretta garzetta,0.03984313245841356,0.023787502705822382,0.0531910313561984,1,Winner,479.235,719.845,240.61,PELECANIFORMES,Ardeidae,Egretta,445,582,4.5,39951.36,22.3,0.999315537303217,33.1,2270,34141787.35,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.2560059251494657,3,2,2
Tachybaptus ruficollis,0.06025371440154387,0.04067295552778701,0.07797155683969563,1,Winner,638.155,997.9699999999999,359.81499999999994,PODICIPEDIFORMES,Podicipedidae,Tachybaptus,217.5,269,5.5,17997.14418,17.5,0.999315537303217,32.2,4000,36639881.74,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,0.14702154626108999,0.85297845373891,1.339118430581034,3,1,1
Upupa epops,0.03387226417725366,0.020380737463482106,0.04968765159093664,1,Winner,1049.58,1255.9299999999998,206.3499999999999,BUCEROTIFORMES,Upupidae,Upupa,67,289,7,5155.08,11.1,0.999315537303217,21.4,4400,46881685.44,Grassland,3,3,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.325417476783092,2.5,3,3
Ardea cinerea,0.06342403466488415,0.0417195860616165,0.08321241880399137,1,Winner,714.5899999999999,1193.27,478.68000000000006,PELECANIFORMES,Ardeidae,Ardea,1383.5,901,5,62203.68,37.5,1.998631074606434,34.6,4000,46421646.29,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.3111704544485419,3,1,1
Alcedo atthis,0.025021380729585062,0.006402214771947102,0.04413633563874343,1,Winner,765.2600000000001,897.495,132.2349999999999,CORACIIFORMES,Alcedinidae,Alcedo,28,164,6,3866.31,21,0.999315537303217,26.9,3005.3948928571417,24992154.31,Riverine,2,1,Carnivore,Aquatic predator,Insessorial,0.14702154626108999,0.85297845373891,1.3433089803843987,3,1,1
Lanius schach,0.02645628635860209,0.01720322001981313,0.03615192996515348,1,Winner,383.65999999999997,517.955,134.29500000000007,PASSERIFORMES,Laniidae,Lanius,57,250,4.5,10070.0877,12.046048196248204,1.0941345811196914,20.3,3000,11170512.1,Shrubland,2,2,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.2740805315114145,2,2,2
Anas platyrhynchos,0.049982663634589974,0.029831387126012476,0.06943108777973735,1,Winner,893.615,1243.75,350.135,ANSERIFORMES,Anatidae,Anas,1150,577.5,9,56579.4,29.1,0.999315537303217,50.7,2000,39707247.47,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,0.024081115335868188,0.9759188846641318,1.3276708530991634,3,2,2
Phasianus colchicus,0.04954649134257585,0.03171621665490435,0.06687776971613452,1,Winner,692.25,1061.05,368.79999999999995,GALLIFORMES,Phasianidae,Phasianus,1457,799,6,29841.10674,27,0.6570841889117043,25.8,3500,7426719.32,Human Modified,2,1,Herbivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.325360799853351,4,1,1
Motacilla cinerea,0.01815058521440965,-0.010789387325895888,0.04838527978467943,0.895,Neutral,1192.92,1272.185,79.26499999999987,PASSERIFORMES,Motacillidae,Motacilla,18,180,5,1799.28,8,0.999315537303217,34.6,4100,19613139.17,Riverine,3,2,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.3464801158084192,3,2,2
Chloris sinica,0.013306868688010658,0.0030757364552386817,0.024750201099220215,0.995,Winner,797.895,866.22,68.32500000000005,PASSERIFORMES,Fringillidae,Chloris,18.5,130.5,4.5,2037.3225,12.180230952380953,1.0028308073400451,33.5,2400,6303643.12,Shrubland,2,1,Herbivore,Granivore,Generalist,0.07858048162230671,0.9214195183776933,1.3191304160239754,2,1,1
Cecropis daurica,7.578731618994394e-5,-0.01408232465650426,0.013485365809966217,0.505,Neutral,809.0450000000001,799.035,-10.010000000000105,PASSERIFORMES,Hirundinidae,Cecropis,24,180.5,5,2696.625,9,0.9938398357289528,53.2,3900,18735899.27,Grassland,3,3,Carnivore,Invertivore,Aerial,0.47275031685678076,0.5272496831432192,1.3628393847331837,2.5,3,3
Ardeola bacchus,0.013179644090858273,-0.0031600278334292515,0.027567635232802423,0.925,Neutral,604.355,656.59,52.235000000000014,PELECANIFORMES,Ardeidae,Ardeola,295,506,3,17382.13824,18.788256854256858,1.666188933433286,26.8,1450,5458763.13,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.2744344613570702,3,2,2
Anthus hodgsoni,-0.009624523062308647,-0.0312593248035774,0.008838024894640879,0.205,Neutral,951.085,908.0550000000001,-43.02999999999997,PASSERIFORMES,Motacillidae,Anthus,23,155,5,4706.8563,10.194723809523811,0.9958540872201012,25.9,1500,14109130.12,Grassland,3,3,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.351505624669485,2.5,3,3
Ardea alba,0.03759234640055739,0.018749921278292992,0.058229161814702286,1,Winner,864.93,1175.645,310.71500000000003,PELECANIFORMES,Ardeidae,Ardea,970,939,4,51438.6,22.8,1.998631074606434,32.1,4000,74898555.49,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.3315837099036465,3,2,2
Gallinula chloropus,0.076000868866796,0.050957195705007466,0.09897893492213171,1,Winner,516.335,1072.6,556.2649999999999,GRUIFORMES,Rallidae,Gallinula,270,292.5,8,18659.49648,18.6,0.999315537303217,32.2,3000,38515141.7,Wetland,3,1,Omnivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.3211941081120397,3,1,1
Tadorna ferruginea,0.05147032991069,0.03319149714566893,0.07014238065547483,1,Winner,681.2,1055.315,374.115,ANSERIFORMES,Anatidae,Tadorna,1328,593,9,77734.71,24.21583174603174,1.938334241505699,48.5,4800,18403211.28,Wetland,3,2,Omnivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.3108672877538443,3,2,2
Cuculus canorus,0.03368102379807826,0.019156602621689195,0.051268680301106935,1,Winner,1065.955,1249.4550000000002,183.50000000000023,CUCULIFORMES,Cuculidae,Cuculus,126.5,323.5,1,3254.93628969,12.9,0.999315537303217,43.9,3800,37338142.79,Forest,2,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3356668979020252,1,3,3
Turdus mandarinus,0.030687527209419405,0.017610060899123748,0.043206456209831344,1,Winner,381.63,538.95,157.32000000000005,PASSERIFORMES,Turdidae,Turdus,95,245,5,7795.892070927446,16.76995578898225,1.0411041116651985,25.2,4000,2503000.65,Forest,2,1,Omnivore,Omnivore,Generalist,0.1761723700887199,0.8238276299112801,1.2716486599369072,1,1,1
Phalacrocorax carbo,0.04226208179070922,0.015908800356037832,0.06402798068568633,1,Winner,793.5400000000001,1159.51,365.9699999999999,SULIFORMES,Phalacrocoracidae,Phalacrocorax,2120,820,4,55725.15,32.1,3.997262149212868,37.1,0,24540701.98,Wetland,3,2,Carnivore,Aquatic predator,Aquatic,0.14702154626108999,0.85297845373891,1.3296257582785354,3,2,2
Acridotheres cristatellus,0.01902118374137285,0.008507715428975849,0.030902434375236966,1,Winner,366.00500000000005,453.88500000000005,87.88,PASSERIFORMES,Sturnidae,Acridotheres,114,249,4.5,6567.372,13,1.4334824195311862,24.1,500,3073262.93,Grassland,3,2,Omnivore,Omnivore,Generalist,0.1761723700887199,0.8238276299112801,1.2494724691525598,2.5,2,2
Corvus macrorhynchos,0.018586653654640125,-0.009306958614993649,0.04352274063910067,0.895,Neutral,758.1650000000001,1029.1599999999999,270.9949999999998,PASSERIFORMES,Corvidae,Corvus,545,490,4,18571.803,19.28106091269842,1.4304465916621962,34.8,5000,13313192.58,Woodland,2,1,Omnivore,Omnivore,Generalist,0.1761723700887199,0.8238276299112801,1.3315077900587795,1.5,1,1
Anas zonorhyncha,0.04398488821825437,0.022286507243831324,0.06528040901922125,1,Winner,573.105,829.385,256.28,ANSERIFORMES,Anatidae,Anas,1135,573,9.5,47263.80375,22.35735555555555,1.2679240690862863,49.3,3350,8223090.75,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,0.024081115335868188,0.9759188846641318,1.3304784611049698,3,2,2
Fulica atra,0.10878313555154456,0.08134333218740569,0.13127365193287657,1,Winner,318.565,1225.72,907.155,GRUIFORMES,Rallidae,Fulica,677.5,406,9,32487,20.6,0.999315537303217,39.6,3500,33490842.86,Wetland,3,1,Herbivore,Herbivore aquatic,Generalist,0.024081115335868188,0.9759188846641318,1.337712027053918,3,1,1
Milvus migrans,0.022411887096901492,-0.006033313754164138,0.0458028915026968,0.925,Neutral,1059.94,1238.66,178.72000000000003,ACCIPITRIFORMES,Accipitridae,Milvus,1082.5,600,2.5,79902.72,24,2.9979466119096507,48.1,2000,59168603.49,Woodland,3,3,Omnivore,Omnivore,Aerial,0.1761723700887199,0.8238276299112801,1.319770003871474,1.5,3,3
Phoenicurus fuliginosus,0.02557861056810526,0.008742201173846565,0.03852223509271599,1,Winner,407.78499999999997,594.63,186.84500000000003,PASSERIFORMES,Muscicapidae,Phoenicurus,20.33,180.8516290674603,4,4902.437937423591,12.714076190476192,1.1247479955021007,25.4,3400,5100213.95,Riverine,3,1,Carnivore,Aquatic predator,Insessorial,0.14702154626108999,0.85297845373891,1.3719437405472836,3,1,1
Podiceps cristatus,0.06313980331580067,0.04278276222818409,0.0842139341841354,1,Winner,611.86,1127.7549999999999,515.8949999999999,PODICIPEDIFORMES,Podicipedidae,Podiceps,825,550,4.5,49882.33908,19.2,1.998631074606434,42.9,3000,19812770.45,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,0.14702154626108999,0.85297845373891,1.3212613709570695,3,1,1
Copsychus saularis,0.009342759429508489,0.0014564983407199703,0.01704521859649462,0.99,Winner,334.62,374.615,39.995000000000005,PASSERIFORMES,Muscicapidae,Copsychus,40,207,5,3551.3748,10.66554424603175,1.1024567702052277,19.1,2000,9009660.2,Woodland,1,1,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.338493794953826,1.5,1,1
Actitis hypoleucos,0.013684329024901732,-0.014616455010887949,0.04000935951801131,0.795,Neutral,1257.13,1297.145,40.01499999999987,CHARADRIIFORMES,Scolopacidae,Actitis,50,180,4.5,14283.10335,14.5,0.999315537303217,48,4000,25847437.41,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.3150223247445667,3,3,3
Zosterops simplex,0.010860510715747675,9.7457885768318e-4,0.019842524139992733,0.99,Winner,467.2,521.29,54.089999999999975,PASSERIFORMES,Zosteropidae,Zosterops,11.29,127.0255389796984,4,2201.181650100696,12.040188852813849,1.0319811256695226,23.8,2590,3806871.23,Forest,2,1,Omnivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.0711450019768198,1,1,1
Sinosuthora webbiana,0.03569047370062933,0.018395018141844507,0.04970084692263656,1,Winner,361.76500000000004,567.85,206.08499999999998,PASSERIFORMES,Paradoxornithidae,Sinosuthora,11,120.5,4.5,1309.57392,11.146892063492068,1.1203320256441385,13.9,1950.3452512626257,4347110.32,Shrubland,2,1,Herbivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.3301443874324372,2,1,1
Lanius cristatus,0.004361988013950396,-0.010709188699872104,0.017879472506769627,0.7,Neutral,924.3,935.775,11.475000000000023,PASSERIFORMES,Laniidae,Lanius,30,189,6,4220.964,10.375988528138535,0.9937542452983898,26.6,1800,14145065.02,Shrubland,3,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3381254947153267,2,3,3
Nycticorax nycticorax,0.057874868339747414,0.038842172939568285,0.07819654042826209,1,Winner,408.15000000000003,791.2,383.05,PELECANIFORMES,Ardeidae,Nycticorax,592.5,532.5,4,27489,21.1,0.999315537303217,33.1,4816,50345275.03,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.2892070606735322,3,3,3
Dicrurus macrocercus,-0.005106651174961709,-0.018037706044625894,0.005739698922451934,0.24,Neutral,591.055,570.255,-20.799999999999955,PASSERIFORMES,Dicruridae,Dicrurus,52.5,267.5,3.5,5304,11.98421607142858,1.0823982513607744,27.8,2600,9351037.98,Shrubland,2,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.273564341366988,2,1,1
Spodiopsar cineraceus,0.06340503866790564,0.0466217387006758,0.08368926684081099,1,Winner,508.21500000000003,851.475,343.26,PASSERIFORMES,Sturnidae,Spodiopsar,84.5,212,6,6442.87488,12.697691269841275,0.9781092342709368,36,1300,5348180.01,Grassland,3,1,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.338686889442574,2.5,1,1
Cyanopica cyanus,0.02399171531769417,0.011213579158959786,0.037361737667696716,1,Winner,492.83,645.9599999999999,153.12999999999994,PASSERIFORMES,Corvidae,Cyanopica,102.5,372,6.5,8396.64,14.105560912698412,1.1412365796421218,14.3,1600,4748269.37,Woodland,2,1,Omnivore,Omnivore,Generalist,0.1761723700887199,0.8238276299112801,1.3620780362641565,1.5,1,1
Phylloscopus inornatus,0.025439001906911184,0.0104548421148034,0.042793547323871875,1,Winner,663.6,795.4150000000001,131.81500000000005,PASSERIFORMES,Phylloscopidae,Phylloscopus,7.5,96.5,5.5,1175.04,9.362684523809524,0.9997637571569776,19,3500,10713136.25,Woodland,1,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3206791978380017,1.5,3,3
Phylloscopus proregulus,0.015042111188077259,3.994247312804838e-4,0.03164862173197846,0.975,Winner,786.2049999999999,859.58,73.37500000000011,PASSERIFORMES,Phylloscopidae,Phylloscopus,6.25,97,5.5,1632,9.701265873015872,0.9911849515987065,18.9,1400,5259814.86,Forest,1,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3341967616139148,1,3,3
Emberiza pusilla,0.021259022121906102,0.002307664090193675,0.04046215000040852,0.98,Winner,744.895,879.8050000000001,134.91000000000008,PASSERIFORMES,Emberizidae,Emberiza,14.25,132.5,5,2165.9955,12.346238094177062,1.0132689884075892,24.5,1000,10268381.21,Forest,2,3,Herbivore,Granivore,Generalist,0.07858048162230671,0.9214195183776933,1.3160648967794522,1,3,3
Corvus corone,0.043830924724693986,0.021427214375744564,0.06201006668438428,1,Winner,735.88,1060.275,324.3950000000001,PASSERIFORMES,Corvidae,Corvus,505,489,4.5,24023.04,19.2,2.9979466119096507,36.9,3600,33343165.09,Human Modified,3,1,Carnivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.329641132723256,4,1,1
Chroicocephalus ridibundus,0.06324527178639064,0.04263894912886213,0.08218146522621189,1,Winner,414.84499999999997,1005.63,590.7850000000001,CHARADRIIFORMES,Laridae,Chroicocephalus,292,392.5,3,19149.6942,32.9,1.998631074606434,45.542265115440074,2102.6403864468866,8950107.23005726,NA,2,NA,NA,NA,NA,NA,0.8238276299112801,1.2899694037314808,2,NA,2
Dendrocopos major,0.01656692362014693,-0.0034029618270664747,0.03828080968553269,0.93,Neutral,635.925,788.62,152.69500000000005,PICIFORMES,Picidae,Dendrocopos,71,221.5,5,6072.57,12.7,0.999315537303217,29.3,2500,24413724.29,Woodland,1,1,Omnivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.3618523069716548,1.5,1,1
Aegithalos concinnus,0.012684522071809135,0.0027224625747241786,0.023214311505779305,0.99,Winner,342.335,411.825,69.49000000000001,PASSERIFORMES,Aegithalidae,Aegithalos,6.5,103.5,6.5,775.9395,9.612399494949496,1.068628738741673,17.6,3900,2797505.09,Forest,1,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3789636159391412,1,1,1
Buteo japonicus,0.04284830144475678,0.006756342737807456,0.06814500704997989,0.995,Winner,932.125,1176.37,244.2449999999999,ACCIPITRIFORMES,Accipitridae,Buteo,762.5,545,2.5,71677.44,25.664747619047606,2.2644889481003463,41.2,1300,4465171.4,Grassland,3,2,Carnivore,Vertivore,Insessorial,0.05449936628643853,0.9455006337135614,1.3248262290662318,2.5,2,2
Tringa ochropus,0.045038556698512346,0.013666362365284764,0.07123636564853177,1,Winner,961.995,1277.63,315.6350000000001,CHARADRIIFORMES,Scolopacidae,Tringa,82,227.5,3.5,19278,11.5,0.999315537303217,45.8,3000,15230538.62,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.3540707755957917,3,3,3
Bubulcus coromandus,-0.002607651420293855,-0.031251227875323764,0.020017613009660873,0.44,Neutral,576.8,603.5,26.700000000000045,PELECANIFORMES,Ardeidae,Bubulcus,987.1152964898994,614.1884365079364,3.903827692265192,56549.22864886227,22.959334523809524,2.0801586849723384,39.26944567099568,1714.4053900543906,7285193.679925817,NA,2,NA,NA,NA,NA,NA,0.8238276299112801,1.2820406497352757,2,NA,2
Tarsiger cyanurus,0.020992891557739222,6.569893639915736e-4,0.04062343337734445,0.975,Winner,729.72,857.995,128.27499999999998,PASSERIFORMES,Muscicapidae,Tarsiger,13.5,137,5.5,1930.095,12.69846114612512,0.9969291744076104,24.5,3000,11663371.34,Forest,1,3,Carnivore,Invertivore,Generalist,0.47275031685678076,0.5272496831432192,1.2885374970506753,1,3,3
Spizixos semitorques,0.031032750835814023,0.019662407243339234,0.04044505322777435,1,Winner,147.335,362.44,215.105,PASSERIFORMES,Pycnonotidae,Spizixos,42.5,192,3.5,4786.86,13.881992460317456,1.3928116651011906,14.8,300,2328094.86,Shrubland,2,1,Omnivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.3599358197911853,2,1,1
Columba livia,-0.08831661065738405,-0.10323056088483158,-0.06908076601925309,0,Loser,1307.545,812.705,-494.84000000000003,COLUMBIFORMES,Columbidae,Columba,270.5,335,2,22456.32,35,0.38329911019849416,45.1,3000,17464191.46,Human Modified,3,1,Herbivore,Granivore,Terrestrial,0.07858048162230671,0.9214195183776933,1.3326195947398953,4,1,1
Accipiter nisus,0.03526116166622919,0.017492904137329398,0.053238799757604406,1,Winner,1074.805,1271.645,196.83999999999992,ACCIPITRIFORMES,Accipitridae,Accipiter,150,330,3.5,22644.41208,20.2,0.999315537303217,35.5,4500,23601609.31,Forest,1,2,Carnivore,Vertivore,Insessorial,0.05449936628643853,0.9455006337135614,1.3287186779031215,1,2,2
Anas carolinensis,0.046355117799752446,0.015798236213280154,0.07082282589855293,0.995,Winner,703.655,1063.025,359.3700000000001,ANSERIFORMES,Anatidae,Anas,292.5,404,9.5,30612.75,27.1,0.4928131416837782,52.8,3350,14419469.42340143,Wetland,3,2,Omnivore,Aquatic predator,Aquatic,0.14702154626108999,0.85297845373891,1.3152021734129706,3,2,2
Charadrius dubius,0.0395742198785916,0.01396607863907183,0.0628293467994061,0.995,Winner,747.095,1059.5349999999999,312.4399999999998,CHARADRIIFORMES,Charadriidae,Charadrius,34,168,3.5,9840.96,13,1.998631074606434,51,800,33641119.87,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.327933845224471,3,3,3
Himantopus himantopus,0.07628800988389112,0.057199795634446174,0.09816400293433049,1,Winner,435.14,983.51,548.37,CHARADRIIFORMES,Recurvirostridae,Himantopus,183,376,4,26103.33,16,1.9904175222450375,52.2,3330,56867877.55,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.3034802750536956,3,2,2
Prinia inornata,0.024402369504963602,0.013688309218108994,0.0344566546397715,1,Winner,290.015,405.39,115.375,PASSERIFORMES,Cisticolidae,Prinia,9,132.5,5,998.223,9.87456874098124,1.180621291135662,14.2,800,7403210.36,Shrubland,2,1,Carnivore,Invertivore,Generalist,0.47275031685678076,0.5272496831432192,1.373984212571651,2,1,1
Emberiza spodocephala,0.02483514060882939,0.004997708299410054,0.0429557080180634,1,Winner,629.2,781.3349999999999,152.13499999999988,PASSERIFORMES,Emberizidae,Emberiza,20.95,145.5,4.5,2741.76,9.578985912698416,0.9909948013428482,19.4,1300,4863864.08,Shrubland,2,3,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.3551059169620212,2,3,3
Picus canus,0.0157890827457692,-0.011729872599359908,0.03909825293123756,0.9,Neutral,712.825,872.4499999999999,159.6249999999999,PICIFORMES,Picidae,Picus,139.5,288,9.5,7019.3952,14.322093650793656,1.0039233619069317,25.8,2000,11476968.7,Forest,1,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3551075629743348,1,1,1
Phylloscopus fuscatus,0.013475134843993646,-0.015621974324954388,0.03873849266254765,0.84,Neutral,875.6,923.505,47.90499999999997,PASSERIFORMES,Phylloscopidae,Phylloscopus,10,121.5,5,1551.42,9.477758333333332,0.9958353161022536,19.1,4200,11609109.62,Wetland,1,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3314460630477096,3,3,3
Buteo hemilasius,0.017838030008424762,0.002411541692209818,0.030539104927909913,0.985,Winner,793.49,921.9549999999999,128.46499999999992,ACCIPITRIFORMES,Accipitridae,Buteo,1560,602,3,96532.8,29.598777655677644,3.1580960013254664,38.2,3500,5366251.83,Grassland,3,1,Carnivore,Vertivore,Generalist,0.05449936628643853,0.9455006337135614,1.303839608069773,2.5,1,1
Spodiopsar sericeus,0.04309537852291569,0.02841445015520794,0.05789621573222077,1,Winner,189.80999999999997,441.135,251.32500000000002,PASSERIFORMES,Sturnidae,Spodiopsar,73.5,216,6.3,6048.8856,14.57975694444445,1.3995123158839766,32.6,500,1660503.05,Shrubland,2,2,Omnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.2645732711808981,2,2,2
Garrulus glandarius,0.015503783628369731,-0.006905620051312696,0.03490717498618191,0.915,Neutral,502.6,625.13,122.52999999999997,PASSERIFORMES,Corvidae,Garrulus,155,330,6.5,10102.2075,17.9,0.999315537303217,19.4,3600,19458203.9,Forest,1,2,Omnivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.32950179902166,1,2,2
Sterna hirundo,0.04217463236715695,0.01753164065828824,0.06450512213633916,1,Winner,701.785,1012.065,310.2800000000001,CHARADRIIFORMES,Laridae,Sterna,111,351,3,24437.16,33,2.9979466119096507,67.3,4000,30248469.5,Marine,3,3,Carnivore,Aquatic predator,Aerial,0.14702154626108999,0.85297845373891,1.3385769261895166,4,3,3
Columba rupestris,0.01702984421527793,0.005454451142303116,0.027550530584173793,0.995,Winner,750.71,852.51,101.79999999999995,COLUMBIFORMES,Columbidae,Columba,242.5,320,2,15193.92,17.53587916666666,1.1797082450593732,48.6,4600,11847809.42,Rock,3,1,Herbivore,Granivore,Terrestrial,0.07858048162230671,0.9214195183776933,1.3178620613880907,4,1,1
Pomatorhinus ruficollis,0.018360304677292473,0.007980669613384981,0.028411702463849144,1,Winner,270.295,383.335,113.03999999999996,PASSERIFORMES,Timaliidae,Pomatorhinus,26,170,4,4489.3056,13.24516174136321,1.0475594749193295,10,3200,2706746.89,Forest,2,1,Carnivore,Invertivore,Generalist,0.47275031685678076,0.5272496831432192,1.4872539025513865,1,1,1
